departamento;MUNICIPIO;Npuesto;gps;votos;direccion;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;9;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;10;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;7;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;6;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;12;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;5;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;9;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;9;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;4;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;14;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;8;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;9;CARRERA 4C # 24 - 15 ;;
CESAR;VALLEDUPAR;I.E. MANUEL GERMAN CUELLO;10.46340834698933, -73.2357375765832;11;CARRERA 4C # 24 - 15 ;;
